Algorithm,DataType,ArraySize,Time_ms,CharComparisons
"A1q TernaryQuickSort (Adapted)","CommonPrefix",700,0.02376,9917
"A1r MSD RadixSort (Adapted)","CommonPrefix",700,0.23128,4963
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",700,0.14038,6144
"Standard MergeSort","CommonPrefix",700,0.54183,444307
"Standard QuickSort","CommonPrefix",700,0.06456,564091
"A1m MergeSort (Adapted)","Random",800,0.74257,502187
"A1q TernaryQuickSort (Adapted)","Random",800,0.01602,7870
"A1r MSD RadixSort (Adapted)","Random",800,0.17346,1669
"A1rq MSD+QuickSort (Adapted)","Random",800,0.08406,3237
"Standard MergeSort","Random",800,0.78686,502187
"Standard QuickSort","Random",800,0.07585,674305
"A1m MergeSort (Adapted)","ReverseSorted",800,0.70461,287070
"A1q TernaryQuickSort (Adapted)","ReverseSorted",800,0.05217,39771
"A1r MSD RadixSort (Adapted)","ReverseSorted",800,0.15607,1684
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",800,0.07494,4937
"Standard MergeSort","ReverseSorted",800,0.67862,287070
"Standard QuickSort","ReverseSorted",800,1.33429,23543972
"A1m MergeSort (Adapted)","AlmostSorted",800,0.65210,444195
"A1q TernaryQuickSort (Adapted)","AlmostSorted",800,0.02593,13590
"A1r MSD RadixSort (Adapted)","AlmostSorted",800,0.11007,1688
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",800,0.05648,3450
"Standard MergeSort","AlmostSorted",800,0.65529,444195
"Standard QuickSort","AlmostSorted",800,0.14533,1582036
"A1m MergeSort (Adapted)","CommonPrefix",800,0.80312,487041
"A1q TernaryQuickSort (Adapted)","CommonPrefix",800,0.02026,11855
"A1r MSD RadixSort (Adapted)","CommonPrefix",800,0.22514,5668
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",800,0.15468,7152
"Standard MergeSort","CommonPrefix",800,0.81224,487041
"Standard QuickSort","CommonPrefix",800,0.09023,591560
"A1m MergeSort (Adapted)","Random",900,0.91661,556702
"A1q TernaryQuickSort (Adapted)","Random",900,0.02203,8611
"A1r MSD RadixSort (Adapted)","Random",900,0.19952,1894
"A1rq MSD+QuickSort (Adapted)","Random",900,0.10721,3768
"Standard MergeSort","Random",900,0.91531,556702
"Standard QuickSort","Random",900,0.11245,772637
"A1m MergeSort (Adapted)","ReverseSorted",900,0.89137,297894
"A1q TernaryQuickSort (Adapted)","ReverseSorted",900,0.05608,44389
"A1r MSD RadixSort (Adapted)","ReverseSorted",900,0.18809,1891
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",900,0.08820,6013
"Standard MergeSort","ReverseSorted",900,0.87055,297894
"Standard QuickSort","ReverseSorted",900,1.80317,29174381
"A1m MergeSort (Adapted)","AlmostSorted",900,0.74324,560484
"A1q TernaryQuickSort (Adapted)","AlmostSorted",900,0.03843,25173
"A1r MSD RadixSort (Adapted)","AlmostSorted",900,0.13698,1906
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",900,0.07402,4021
"Standard MergeSort","AlmostSorted",900,0.87068,560484
"Standard QuickSort","AlmostSorted",900,0.18393,2373522
"A1m MergeSort (Adapted)","CommonPrefix",900,0.85710,590217
"A1q TernaryQuickSort (Adapted)","CommonPrefix",900,0.02582,13513
"A1r MSD RadixSort (Adapted)","CommonPrefix",900,0.25662,6400
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",900,0.19393,8276
"Standard MergeSort","CommonPrefix",900,0.85377,590217
"Standard QuickSort","CommonPrefix",900,0.10173,734520
"A1m MergeSort (Adapted)","Random",1000,0.96427,635997
"A1q TernaryQuickSort (Adapted)","Random",1000,0.02398,10331
"A1r MSD RadixSort (Adapted)","Random",1000,0.17283,2122
"A1rq MSD+QuickSort (Adapted)","Random",1000,0.08890,4230
"Standard MergeSort","Random",1000,0.99463,635997
"Standard QuickSort","Random",1000,0.11173,702451
"A1m MergeSort (Adapted)","ReverseSorted",1000,0.88015,351754
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1000,0.06300,50851
"A1r MSD RadixSort (Adapted)","ReverseSorted",1000,0.20553,2128
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1000,0.09359,7211
